"location","count","latitude","longitude"
5388621,5,43.1339,-88.22204
5194907,53,31.99735,-102.07791
5206280,1,39.99678,-74.99267
5252239,3,51.687,-0.00421
5386708,1,41.99694,-80.14306
5248353,21,22.89088,-109.91238
5260829,25,40.65995,-111.99633
5382578,3,39.89165,-105.76306
5396387,4,39.65621,-77.93166
5517871,1,38.7264,-94.71829
5191217,3,37.43776,-112.48271
5425524,1,40.68282,-85.4272
5271048,3,39.12256,-84.13577
5495480,1,53.6859,9.98041
5235555,1,31.65933,-97.47224
5220044,1,20.5,-99
5224830,1,47.54279,9.28712
5445215,4,35.08449,-106.65114
5206487,2,32.71571,-117.16472
5493431,4,-23.52278,-46.18833
5220061,2,34.64173,-102.7241
5236134,1,27,30
5207324,9,35.33629,-82.47991
5197515,1,33.2757,-82.97626
5250015,17,40.37205,-75.29268
5211029,1,37.73987,-121.42618
5381495,1,10.625,-61.27917
5399232,2,39.19089,-84.36355
5204347,1,42.51731,-73.22816
5236178,7,38.62753,-92.56658
5586777,1,-8.11806,-35.29139
5253433,10,38.95706,-76.54996
5191219,61,43.41947,-83.95081
5604211,1,14.64072,-90.51327
5211227,1,32.29326,-64.78063
5512592,1,52.6768,-113.58147
5299664,5,42.62425,-73.1176
5221410,2,41.73755,-84.83329
5525402,1,18.14905,-94.4447
5239175,1,54.93788,9.25547
5206856,1,37.00578,-121.56828
5219354,1,41.23581,-103.663
5495412,1,-18.56667,146.23333
5228532,1,43.09674,12.38286
5222074,1,36.77808,-6.3515
6103995,1,33.68899,-86.68332
5210634,1,48.55737,-119.74979
5241523,1,42.89642,-82.76881
5259811,3,42.53068,-114.30101
5193246,3,5.36301,100.4667
5491983,1,40.76843,-74.14542
5227540,1,-7.33333,-75.01667
5217018,3,51.81665,-0.81458
5242644,1,40.40372,-73.99153
5409038,3,42.39315,-72.4037
5213542,3,41.298,-112.08605
5205221,33,43.19786,-70.87367
5249388,12,47.75045,-90.33427
5239240,4,51.01678,-4.20832
5192224,1,-21.31806,-49.05444
5218293,9,44.65505,-71.55564
5379057,5,41.23202,-76.99913
5190513,27,40.41628,-120.65301
5503519,1,51.00495,-0.93375
5412246,3,40.27201,-80.60952
5221306,13,36.75338,-86.19054
5439504,5,28.2189,-82.45759
5439276,1,39.24084,-94.288
5600433,1,-17.77228,128.31221
5435910,1,31.11295,-86.04605
5243399,1,42.07407,-4.0545
5228773,2,37.49292,-4.45586
5215224,11,41.01065,-74.11792
5221357,5,65.4544,27.09777
5223281,2,4.5841,101.0829
5191082,12,45.31806,-85.2584
5251241,7,43.13196,-86.15478
5196879,53,41.40916,-75.6649
5284635,3,40.3931,-84.37606
5211563,5,53.18437,-0.81091
5216851,11,43.30331,-91.78571
5237297,18,39.27205,-76.73192
5262489,3,32.13634,-81.62348
5406432,1,41.4375,22.64333
6104100,1,30.87824,-97.40167
5224225,1,53.8,-2.23333
5206085,2,40.38452,-77.88222
5231708,3,42.84749,-90.71068
5195495,1,39.32427,-79.5545
5226506,1,46.46423,6.8481
5425789,2,19.90858,99.8325
5229724,13,34.88345,-82.70736
5188408,7,41.74087,-87.86033
5204143,58,26.06287,-80.2331
5224528,24,37.34772,-120.60908
5268154,2,52.22977,21.01178
5287707,11,37.51617,-89.90705
5525352,1,37.6391,-120.99688
6103961,1,48.8465,-122.59101
5190173,2,35.08449,-106.65114
5190756,7,40.28226,-86.0411
5209844,5,41.20032,-85.70554
5538984,2,-22.46917,-48.9875
5208877,6,46.49122,-122.9379
5262052,6,34.24654,-80.60702
5236249,1,39.57538,-76.99581
5218304,83,44.00013,-120.50139
5427980,2,40.65117,-81.299
5196136,30,38.36863,-93.77827
5238493,8,46.44763,-120.42034
5213621,43,48.5126,-122.61267
5235415,1,46.01472,3.06611
5192450,9,42.19002,-87.9084
5370514,9,38.92372,-75.5777
5206313,9,36.80499,-98.66718
5446640,1,49.19522,16.60796
5240600,1,34.29081,-91.37491
5197642,1,33.21536,-109.2401
5192081,1,37.97476,-87.55585
5205191,2,42.42722,18.55667
5227958,1,47.86339,8.06452
5287551,7,35.4701,-95.52304
5465641,3,33.35818,-94.25436
5249467,14,43.29667,-87.98759
5204891,13,-19.26639,146.80569
5191499,19,40.55809,-90.03512
5383253,1,36.95419,-101.06544
5298734,7,32.71899,-102.64491
5440095,1,43.49507,-72.03342
6103734,1,39.12711,-84.51439
5225612,1,46.06458,-118.34302
5226038,1,43.9261,-100.54041
